step,reward,rolling_reward
0,-6.043365955352783,-6.043365955352783
1,-8.497576713562012,-7.2704713344573975
2,-12.924985885620117,-9.155309518178305
3,-18.05986785888672,-11.381449103355408
4,-43.564334869384766,-17.81802625656128
5,-17.230274200439453,-17.720067580540974
6,-50.35398483276367,-22.38205575942993
7,-41.91761016845703,-24.82400006055832
8,-10.647383689880371,-23.248820463816326
9,-5.156728267669678,-21.43961124420166
10,-5.4832916259765625,-19.989036733453926
11,-7.447216510772705,-18.943885048230488
12,-4.876836776733398,-17.861804411961483
13,-49.82343292236328,-20.144777876990183
14,-4.999041557312012,-19.13506212234497
15,-8.796195983886719,-18.48888298869133
16,-12.530172348022461,-18.138370598063748
17,-14.194761276245117,-17.919281191296047
18,-10.742037773132324,-17.541531537708483
19,-0.5610920190811157,-16.692509561777115
20,0.5614013075828552,-15.87089475847426
21,-4.979314804077148,-15.3758229423653
22,-4.198127269744873,-14.8898361739905
23,-2.6458547115325928,-14.379670279721418
24,-50.76652908325195,-15.83514463186264
25,-12.075254440307617,-15.690533470648985
26,-17.617408752441406,-15.761899221826482
27,-17.08885383605957,-15.809290458049093
28,-33.42898178100586,-16.416866020909673
29,-49.8193244934082,-17.530281303326287
30,-45.735595703125,-18.4401301549327
31,-38.2333869934082,-19.05866943113506
32,-53.34600067138672,-20.097679468718443
33,-7.166250228881836,-19.7173433146056
34,-4.98484992980957,-19.296414932182856
35,-50.34050750732422,-20.158750837047894
36,-7.170533180236816,-19.80771792740435
37,-6.754749774932861,-19.464218765497208
38,-5.52239990234375,-19.106736230544556
39,-8.502381324768066,-18.841627357900144
40,-8.131294250488281,-18.580399721134
41,-59.037437438964844,-19.543662523939496
42,-56.807674407958984,-20.410267451474834
43,-11.674280166625977,-20.211722285910085
44,-5.948108673095703,-19.89475309451421
45,-1.133610725402832,-19.486902173446573
46,-9.601353645324707,-19.2765713536993
47,-3.191422700881958,-18.941464090098936
48,-4.424408435821533,-18.645197648174907
49,-52.554954528808594,-19.323392785787583
50,-13.57119083404541,-19.21060451222401
51,-17.281579971313477,-19.17350788643727
52,-83.19671630859375,-20.38149295100626
53,-50.294578552246094,-20.935438980658848
54,-45.23064041137695,-21.377169915762813
