timestamp,timestamp_utc,ghi,dni,diffuse_irradiance,temperature_c,wind_speed_mps,humidity_pct,precipitation_mm
2020-01-01 05:30:00,2020-01-01 00:00:00+00:00,0.0,0.0,0.0,20.54,2.0,99.69,15.88
2020-01-01 06:30:00,2020-01-01 01:00:00+00:00,23.02,17.39,28.3,21.52,2.38,97.49,16.71
2020-01-01 07:30:00,2020-01-01 02:00:00+00:00,134.65,102.35,95.62,23.26,3.56,93.27,20.56
2020-01-01 08:30:00,2020-01-01 03:00:00+00:00,282.05,171.52,169.72,25.04,4.08,87.28,21.39
2020-01-01 09:30:00,2020-01-01 04:00:00+00:00,362.92,153.3,271.64,26.99,4.59,77.16,20.81
2020-01-01 10:30:00,2020-01-01 05:00:00+00:00,406.8,57.88,245.92,28.29,4.83,70.29,21.24
2020-01-01 11:30:00,2020-01-01 06:00:00+00:00,375.38,93.89,261.81,28.99,4.91,66.76,23.23
2020-01-01 12:30:00,2020-01-01 07:00:00+00:00,366.73,14.65,281.17,29.31,4.94,64.88,25.42
2020-01-01 13:30:00,2020-01-01 08:00:00+00:00,291.5,111.7,206.15,28.86,5.07,66.64,21.69
2020-01-01 14:30:00,2020-01-01 09:00:00+00:00,235.6,35.17,168.56,28.04,5.12,70.77,16.0
2020-01-01 15:30:00,2020-01-01 10:00:00+00:00,162.12,152.9,104.29,27.09,4.86,75.39,8.82
2020-01-01 16:30:00,2020-01-01 11:00:00+00:00,67.3,67.6,52.21,25.91,3.87,82.35,3.59
2020-01-01 17:30:00,2020-01-01 12:00:00+00:00,4.1,1.19,6.97,24.16,2.47,91.84,2.87
2020-01-01 18:30:00,2020-01-01 13:00:00+00:00,0.0,0.0,0.0,23.46,2.3,94.49,2.41
2020-01-01 19:30:00,2020-01-01 14:00:00+00:00,0.0,0.0,0.0,22.98,2.12,95.87,2.1
2020-01-01 20:30:00,2020-01-01 15:00:00+00:00,0.0,0.0,0.0,22.67,1.98,96.72,1.8
2020-01-01 21:30:00,2020-01-01 16:00:00+00:00,0.0,0.0,0.0,22.34,1.82,97.64,1.43
2020-01-01 22:30:00,2020-01-01 17:00:00+00:00,0.0,0.0,0.0,22.06,1.8,98.29,2.01
2020-01-01 23:30:00,2020-01-01 18:00:00+00:00,0.0,0.0,0.0,21.81,1.77,98.91,2.24
2020-01-02 00:30:00,2020-01-01 19:00:00+00:00,0.0,0.0,0.0,21.59,1.73,99.4,2.78
2020-01-02 01:30:00,2020-01-01 20:00:00+00:00,0.0,0.0,0.0,21.44,1.65,99.56,2.65
2020-01-02 02:30:00,2020-01-01 21:00:00+00:00,0.0,0.0,0.0,21.35,1.6,99.39,3.78
2020-01-02 03:30:00,2020-01-01 22:00:00+00:00,0.0,0.0,0.0,21.3,1.55,99.14,3.33
2020-01-02 04:30:00,2020-01-01 23:00:00+00:00,0.0,0.0,0.0,21.26,1.51,98.89,3.17
2020-01-02 05:30:00,2020-01-02 00:00:00+00:00,0.0,0.0,0.0,21.33,1.42,98.37,3.09
2020-01-02 06:30:00,2020-01-02 01:00:00+00:00,43.47,95.32,37.14,22.22,1.29,97.0,2.43
2020-01-02 07:30:00,2020-01-02 02:00:00+00:00,211.02,281.57,123.17,24.18,1.77,91.22,3.9
2020-01-02 08:30:00,2020-01-02 03:00:00+00:00,385.92,328.54,220.61,25.83,2.3,83.67,0.0
2020-01-02 09:30:00,2020-01-02 04:00:00+00:00,552.0,480.69,242.43,27.39,2.72,74.47,0.0
2020-01-02 10:30:00,2020-01-02 05:00:00+00:00,652.1,458.18,280.96,28.42,3.1,69.08,0.0
2020-01-02 11:30:00,2020-01-02 06:00:00+00:00,681.92,420.85,274.59,28.91,3.35,66.64,0.0
2020-01-02 12:30:00,2020-01-02 07:00:00+00:00,656.47,352.29,317.83,29.12,3.46,65.47,0.0
2020-01-02 13:30:00,2020-01-02 08:00:00+00:00,514.83,220.28,246.67,29.05,3.54,65.17,0.0
2020-01-02 14:30:00,2020-01-02 09:00:00+00:00,400.33,254.3,195.95,28.7,3.63,65.68,0.0
2020-01-02 15:30:00,2020-01-02 10:00:00+00:00,242.02,210.85,146.24,27.97,3.64,68.01,0.0
2020-01-02 16:30:00,2020-01-02 11:00:00+00:00,99.35,86.27,77.25,26.66,3.26,74.77,0.0
2020-01-02 17:30:00,2020-01-02 12:00:00+00:00,5.62,3.02,7.92,24.47,2.33,87.44,0.0
2020-01-02 18:30:00,2020-01-02 13:00:00+00:00,0.0,0.0,0.0,23.53,2.19,91.8,0.0
2020-01-02 19:30:00,2020-01-02 14:00:00+00:00,0.0,0.0,0.0,22.95,1.99,94.26,0.0
2020-01-02 20:30:00,2020-01-02 15:00:00+00:00,0.0,0.0,0.0,22.47,1.85,95.93,0.0
2020-01-02 21:30:00,2020-01-02 16:00:00+00:00,0.0,0.0,0.0,22.03,1.8,97.75,0.0
2020-01-02 22:30:00,2020-01-02 17:00:00+00:00,0.0,0.0,0.0,21.63,1.76,99.62,0.0
2020-01-02 23:30:00,2020-01-02 18:00:00+00:00,0.0,0.0,0.0,21.39,1.63,100.0,0.0
2020-01-03 00:30:00,2020-01-02 19:00:00+00:00,0.0,0.0,0.0,21.49,1.36,99.0,0.0
2020-01-03 01:30:00,2020-01-02 20:00:00+00:00,0.0,0.0,0.0,21.63,1.05,97.56,0.0
2020-01-03 02:30:00,2020-01-02 21:00:00+00:00,0.0,0.0,0.0,21.53,0.97,97.57,0.0
