timestamp,timestamp_utc,ghi,dni,diffuse_irradiance,temperature_c,wind_speed_mps,humidity_pct,precipitation_mm
2020-01-01 05:30:00,2020-01-01 00:00:00+00:00,0.0,0.0,0.0,20.54,2.0,99.69,15.88
2020-01-01 06:30:00,2020-01-01 01:00:00+00:00,23.02,17.39,28.3,21.52,2.38,97.49,16.71
2020-01-01 07:30:00,2020-01-01 02:00:00+00:00,134.65,102.35,95.62,23.26,3.56,93.27,20.56
2020-01-01 08:30:00,2020-01-01 03:00:00+00:00,282.05,171.52,169.72,25.04,4.08,87.28,21.39
2020-01-01 09:30:00,2020-01-01 04:00:00+00:00,362.92,153.3,271.64,26.99,4.59,77.16,20.81
2020-01-01 10:30:00,2020-01-01 05:00:00+00:00,406.8,57.88,245.92,28.29,4.83,70.29,21.24
2020-01-01 11:30:00,2020-01-01 06:00:00+00:00,375.38,93.89,261.81,28.99,4.91,66.76,23.23
2020-01-01 12:30:00,2020-01-01 07:00:00+00:00,366.73,14.65,281.17,29.31,4.94,64.88,25.42
2020-01-01 13:30:00,2020-01-01 08:00:00+00:00,291.5,111.7,206.15,28.86,5.07,66.64,21.69
2020-01-01 14:30:00,2020-01-01 09:00:00+00:00,235.6,35.17,168.56,28.04,5.12,70.77,16.0
