-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in UTC
Location: Latitude  12.9247   Longitude 79.1343 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 223.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI
2020,1,1,0,0.0,20.54,2.0,99.69,15.88,0.0,0.0
2020,1,1,1,23.02,21.52,2.38,97.49,16.71,28.3,17.39
2020,1,1,2,134.65,23.26,3.56,93.27,20.56,95.62,102.35
2020,1,1,3,282.05,25.04,4.08,87.28,21.39,169.72,171.52
2020,1,1,4,362.92,26.99,4.59,77.16,20.81,271.64,153.3
2020,1,1,5,406.8,28.29,4.83,70.29,21.24,245.92,57.88
2020,1,1,6,375.38,28.99,4.91,66.76,23.23,261.81,93.89
2020,1,1,7,366.73,29.31,4.94,64.88,25.42,281.17,14.65
2020,1,1,8,291.5,28.86,5.07,66.64,21.69,206.15,111.7
2020,1,1,9,235.6,28.04,5.12,70.77,16.0,168.56,35.17
2020,1,1,10,162.12,27.09,4.86,75.39,8.82,104.29,152.9
2020,1,1,11,67.3,25.91,3.87,82.35,3.59,52.21,67.6
2020,1,1,12,4.1,24.16,2.47,91.84,2.87,6.97,1.19
2020,1,1,13,0.0,23.46,2.3,94.49,2.41,0.0,0.0
2020,1,1,14,0.0,22.98,2.12,95.87,2.1,0.0,0.0
2020,1,1,15,0.0,22.67,1.98,96.72,1.8,0.0,0.0
2020,1,1,16,0.0,22.34,1.82,97.64,1.43,0.0,0.0
2020,1,1,17,0.0,22.06,1.8,98.29,2.01,0.0,0.0
2020,1,1,18,0.0,21.81,1.77,98.91,2.24,0.0,0.0
2020,1,1,19,0.0,21.59,1.73,99.4,2.78,0.0,0.0
2020,1,1,20,0.0,21.44,1.65,99.56,2.65,0.0,0.0
2020,1,1,21,0.0,21.35,1.6,99.39,3.78,0.0,0.0
2020,1,1,22,0.0,21.3,1.55,99.14,3.33,0.0,0.0
2020,1,1,23,0.0,21.26,1.51,98.89,3.17,0.0,0.0
2020,1,2,0,0.0,21.33,1.42,98.37,3.09,0.0,0.0
2020,1,2,1,43.47,22.22,1.29,97.0,2.43,37.14,95.32
2020,1,2,2,211.02,24.18,1.77,91.22,3.9,123.17,281.57
2020,1,2,3,385.92,25.83,2.3,83.67,0.0,220.61,328.54
2020,1,2,4,552.0,27.39,2.72,74.47,0.0,242.43,480.69
2020,1,2,5,652.1,28.42,3.1,69.08,0.0,280.96,458.18
2020,1,2,6,681.92,28.91,3.35,66.64,0.0,274.59,420.85
2020,1,2,7,656.47,29.12,3.46,65.47,0.0,317.83,352.29
2020,1,2,8,514.83,29.05,3.54,65.17,0.0,246.67,220.28
2020,1,2,9,400.33,28.7,3.63,65.68,0.0,195.95,254.3
2020,1,2,10,242.02,27.97,3.64,68.01,0.0,146.24,210.85
2020,1,2,11,99.35,26.66,3.26,74.77,0.0,77.25,86.27
2020,1,2,12,5.62,24.47,2.33,87.44,0.0,7.92,3.02
2020,1,2,13,0.0,23.53,2.19,91.8,0.0,0.0,0.0
2020,1,2,14,0.0,22.95,1.99,94.26,0.0,0.0,0.0
2020,1,2,15,0.0,22.47,1.85,95.93,0.0,0.0,0.0
2020,1,2,16,0.0,22.03,1.8,97.75,0.0,0.0,0.0
2020,1,2,17,0.0,21.63,1.76,99.62,0.0,0.0,0.0
2020,1,2,18,0.0,21.39,1.63,100.0,0.0,0.0,0.0
2020,1,2,19,0.0,21.49,1.36,99.0,0.0,0.0,0.0
2020,1,2,20,0.0,21.63,1.05,97.56,0.0,0.0,0.0
2020,1,2,21,0.0,21.53,0.97,97.57,0.0,0.0,0.0
2020,1,2,22,0.0,21.39,0.95,97.81,0.0,0.0,0.0
2020,1,2,23,0.0,21.27,0.87,97.9,0.0,0.0,0.0
2020,1,3,0,0.0,21.31,0.73,97.18,0.0,0.0,0.0
2020,1,3,1,34.33,21.96,0.56,95.14,0.0,37.41,43.04
2020,1,3,2,173.1,23.94,0.99,85.99,0.0,115.67,173.38
2020,1,3,3,350.73,25.86,1.7,75.88,0.0,192.04,228.68
2020,1,3,4,521.75,27.49,1.98,68.92,0.0,271.35,259.29
2020,1,3,5,660.67,28.79,2.12,64.51,0.0,234.35,517.51
2020,1,3,6,766.4,29.68,2.26,61.98,0.0,247.93,577.69
2020,1,3,7,702.47,30.14,2.49,60.83,0.0,311.43,393.63
2020,1,3,8,608.08,30.2,2.76,60.7,0.0,219.49,476.36
2020,1,3,9,461.77,29.83,3.09,61.96,0.0,205.63,384.34
2020,1,3,10,293.1,29.06,3.24,65.01,0.0,149.71,319.73
2020,1,3,11,120.57,27.7,2.98,72.44,0.0,80.98,178.42
2020,1,3,12,6.65,25.39,2.43,85.36,0.0,8.04,6.14
2020,1,3,13,0.0,24.33,2.57,89.32,0.0,0.0,0.0
2020,1,3,14,0.0,23.72,2.49,92.03,0.0,0.0,0.0
2020,1,3,15,0.0,23.2,2.34,94.49,0.0,0.0,0.0
2020,1,3,16,0.0,22.71,2.17,96.88,0.0,0.0,0.0
