time,timestamp,solar_kw,wind_kw,load_kw,battery_soc_pct,battery_soh_pct,battery_resistance_growth,battery_power_kw,grid_kw,tariff_inr_kwh,cost_inr,cell_temperature_c,carbon_intensity_kg_kwh,carbon_emissions_kg,degradation_cost_inr,action,reason,decision_entropy,ig_attributions
2025-12-24 00:30:00+05:30,2025-12-24 00:30:00+05:30,0.0,0.134,34.868,48.717,99.999,1.001,10.907,23.827,2.6,68.384,17.42,0.15,3.574,72.91,discharge,PIS-PPO: Discharge 10.9 kW to cover HVAC load surge and avoid peak tariff. Temp: 17.4°C.,-0.478,"[0.0, 0.0, -0.0002, 0.0008, 0.0, -0.0048, 0.0, 0.0116, 0.0]"
2025-12-24 01:30:00+05:30,2025-12-24 01:30:00+05:30,0.0,0.113,46.685,42.343,99.999,1.001,11.065,35.507,2.6,103.626,17.09,0.177,6.282,71.969,discharge,PIS-PPO: Discharge 11.1 kW to cover HVAC load surge and avoid peak tariff. Temp: 17.1°C.,-0.478,"[0.0, 0.0, 0.0015, -0.0002, -0.0, -0.0048, 0.0026, 0.0112, 0.0]"
2025-12-24 02:30:00+05:30,2025-12-24 02:30:00+05:30,0.0,0.094,48.051,35.958,99.998,1.002,11.082,36.875,2.6,112.588,16.78,0.252,9.285,70.25,discharge,PIS-PPO: Discharge 11.1 kW to cover HVAC load surge and avoid peak tariff. Temp: 16.8°C.,-0.478,"[0.0, 0.0, 0.0017, -0.0013, -0.0, -0.0048, 0.0049, 0.0102, 0.0]"
2025-12-24 03:30:00+05:30,2025-12-24 03:30:00+05:30,0.0,0.08,38.419,29.649,99.998,1.003,10.948,27.391,2.6,88.894,16.52,0.359,9.822,67.886,discharge,PIS-PPO: Discharge 10.9 kW to cover HVAC load surge and avoid peak tariff. Temp: 16.5°C.,-0.478,"[0.0, 0.0, 0.0003, -0.0025, -0.0, -0.0048, 0.0067, 0.0086, 0.0]"
2025-12-24 04:30:00+05:30,2025-12-24 04:30:00+05:30,0.0,0.072,50.71,23.358,99.997,1.003,10.918,39.72,2.6,137.232,16.31,0.475,18.867,66.354,discharge,PIS-PPO: Discharge 10.9 kW to cover HVAC load surge and avoid peak tariff. Temp: 16.3°C.,-0.478,"[0.0, 0.0, 0.002, -0.0037, -0.0, -0.0048, 0.0079, 0.0063, 0.0]"
2025-12-24 05:30:00+05:30,2025-12-24 05:30:00+05:30,0.0,0.074,53.107,20.0,99.997,1.004,5.827,47.206,2.6,171.861,16.09,0.578,27.292,36.099,discharge,PIS-PPO: Discharge 5.8 kW to cover HVAC load surge and avoid peak tariff. Temp: 16.1°C.,-0.478,"[0.0, 0.0, 0.0024, -0.0051, -0.0, -0.0049, 0.0088, 0.0034, 0.0]"
2025-12-24 06:30:00+05:30,2025-12-24 06:30:00+05:30,3.8,0.033,57.738,20.0,99.997,1.004,0.0,53.905,5.6,364.936,16.93,0.65,35.038,2.913,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 16.9°C.,-0.478,"[0.0004, 0.0, 0.003, -0.0057, -0.0, 0.0089, 0.0089, 0.0, 0.0]"
2025-12-24 07:30:00+05:30,2025-12-24 07:30:00+05:30,19.251,0.281,70.87,20.0,99.997,1.004,0.0,51.338,5.6,350.485,20.04,0.682,34.995,3.629,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.0°C.,-0.478,"[0.0021, 0.0, 0.0047, -0.0058, -0.0, 0.0089, 0.0087, -0.0037, 0.0]"
2025-12-24 08:30:00+05:30,2025-12-24 08:30:00+05:30,37.932,0.319,75.367,20.0,99.997,1.004,0.0,37.116,5.6,252.945,22.81,0.675,25.053,4.397,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 22.8°C.,-0.478,"[0.0038, 0.0, 0.0052, -0.0058, -0.0, 0.0089, 0.008, -0.0074, 0.0]"
2025-12-24 09:30:00+05:30,2025-12-24 09:30:00+05:30,46.488,0.376,79.051,20.0,99.997,1.004,0.0,32.187,5.6,217.409,24.32,0.641,20.645,4.875,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 24.3°C.,-0.478,"[0.0045, 0.0, 0.0057, -0.0059, -0.0, 0.009, 0.0069, -0.0109, 0.0]"
